arrival,cost,Method,Service,Expiration
0.7,68.26330845974645,LSTM-PPO,Pareto,Exponential
0.7,67.33459104171425,LSTM-PPO,,
0.7,67.33459104171425,LSTM-PPO,Pareto,Exponential
0.7,67.33550366403897,LSTM-PPO,,
0.7,67.33550366403897,LSTM-PPO,Pareto,Exponential
0.7,69.84877312270959,LSTM-PPO,,
0.7,69.84877312270959,LSTM-PPO,Pareto,Exponential
0.7,68.15189260613138,LSTM-PPO,,
0.7,68.15189260613138,LSTM-PPO,Pareto,Exponential
0.7,67.46478786511727,LSTM-PPO,,
0.7,67.46478786511727,LSTM-PPO,Pareto,Exponential
0.7,66.59227872598915,LSTM-PPO,,
0.7,66.59227872598915,LSTM-PPO,Pareto,Exponential
0.1,17.6485,NSGD,Exponential,Exponential
0.1,17.566000000000003,NSGD,Exponential,Exponential
0.1,17.7635,NSGD,Exponential,Exponential
0.1,17.54,NSGD,Exponential,Exponential
0.1,17.685499999999998,NSGD,Exponential,Exponential
0.1,17.7945,NSGD,Exponential,Exponential
0.1,17.686,NSGD,Exponential,Exponential
0.1,17.6685,NSGD,Exponential,Exponential
0.1,17.639,NSGD,Exponential,Exponential
0.1,17.705,NSGD,Exponential,Exponential
0.2,26.3205,NSGD,Exponential,Exponential
0.2,26.3335,NSGD,Exponential,Exponential
0.2,26.549,NSGD,Exponential,Exponential
0.2,26.3445,NSGD,Exponential,Exponential
0.2,26.645,NSGD,Exponential,Exponential
0.2,26.455,NSGD,Exponential,Exponential
0.2,26.712,NSGD,Exponential,Exponential
0.2,26.5715,NSGD,Exponential,Exponential
0.2,26.5435,NSGD,Exponential,Exponential
0.2,26.588,NSGD,Exponential,Exponential
0.3,33.9215,NSGD,Exponential,Exponential
0.3,33.945,NSGD,Exponential,Exponential
0.3,33.7735,NSGD,Exponential,Exponential
0.3,33.8435,NSGD,Exponential,Exponential
0.3,34.1295,NSGD,Exponential,Exponential
0.3,33.926,NSGD,Exponential,Exponential
0.3,33.9735,NSGD,Exponential,Exponential
0.3,33.861000000000004,NSGD,Exponential,Exponential
0.3,33.827,NSGD,Exponential,Exponential
0.3,34.133,NSGD,Exponential,Exponential
0.7,64.9455,NSGD,Exponential,Exponential
0.7,65.13999999999999,NSGD,Exponential,Exponential
0.7,63.88549999999999,NSGD,Exponential,Exponential
0.7,64.4005,NSGD,Exponential,Exponential
0.7,63.707,NSGD,Exponential,Exponential
0.7,64.365,NSGD,Exponential,Exponential
0.7,64.1245,NSGD,Exponential,Exponential
0.7,64.077,NSGD,Exponential,Exponential
0.7,64.239,NSGD,Exponential,Exponential
0.7,63.5935,NSGD,Exponential,Exponential
0.1,12.678999999999998,NSGD,Pareto,Exponential
0.1,12.6065,NSGD,Pareto,Exponential
0.1,12.706,NSGD,Pareto,Exponential
0.1,12.6365,NSGD,Pareto,Exponential
0.1,12.7145,NSGD,Pareto,Exponential
0.1,12.692,NSGD,Pareto,Exponential
0.1,12.672,NSGD,Pareto,Exponential
0.1,12.6625,NSGD,Pareto,Exponential
0.1,12.624,NSGD,Pareto,Exponential
0.1,12.7455,NSGD,Pareto,Exponential
0.2,17.8555,NSGD,Pareto,Exponential
0.2,17.7885,NSGD,Pareto,Exponential
0.2,17.9405,NSGD,Pareto,Exponential
0.2,17.715,NSGD,Pareto,Exponential
0.2,17.8515,NSGD,Pareto,Exponential
0.2,17.822,NSGD,Pareto,Exponential
0.2,17.7505,NSGD,Pareto,Exponential
0.2,17.766,NSGD,Pareto,Exponential
0.2,17.8315,NSGD,Pareto,Exponential
0.2,17.922,NSGD,Pareto,Exponential
0.3,22.3255,NSGD,Pareto,Exponential
0.3,22.1635,NSGD,Pareto,Exponential
0.3,22.275,NSGD,Pareto,Exponential
0.3,22.1235,NSGD,Pareto,Exponential
0.3,22.433,NSGD,Pareto,Exponential
0.3,22.05,NSGD,Pareto,Exponential
0.3,22.172,NSGD,Pareto,Exponential
0.3,22.081000000000003,NSGD,Pareto,Exponential
0.3,22.171,NSGD,Pareto,Exponential
0.3,22.4795,NSGD,Pareto,Exponential
0.7,38.7245,NSGD,Pareto,Exponential
0.7,38.538,NSGD,Pareto,Exponential
0.7,38.4585,NSGD,Pareto,Exponential
0.7,38.8945,NSGD,Pareto,Exponential
0.7,39.5555,NSGD,Pareto,Exponential
0.7,38.839,NSGD,Pareto,Exponential
0.7,39.411,NSGD,Pareto,Exponential
0.7,39.3385,NSGD,Pareto,Exponential
0.7,38.1565,NSGD,Pareto,Exponential
0.7,39.138,NSGD,Pareto,Exponential
